respSize,June 15 2013,October 15 2013,March 15 2014
0,0,0.010513984,0
1000,0.302446626,0.301516016,0.307103587
2000,0.112206649,0.113040344,0.108562241
3000,0.076739733,0.07245136,0.070751846
4000,0.059535935,0.058087256,0.055571898
5000,0.045092487,0.042371354,0.040148503
6000,0.037809648,0.036017904,0.035725878
7000,0.033557081,0.028072336,0.030157023
8000,0.026284428,0.027641764,0.026550962
9000,0.022805981,0.020817688,0.024862047
10000,0.024501915,0.021583706,0.019607644
11000,0.015635186,0.014098751,0.016676134
12000,0.013221154,0.012156168,0.01278605
13000,0.011840979,0.013487939,0.015190092
14000,0.012599821,0.013863438,0.011157997
15000,0.010776565,0.008961919,0.010321147
16000,0.022719402,0.02319585,0.022990546
17000,0.007736107,0.008040694,0.00957559
18000,0.007669899,0.007244635,0.008454719
19000,0.008169003,0.009127139,0.007972896
20000,0.007063845,0.006779016,0.006633937
21000,0.007522205,0.005947911,0.006111539
22000,0.005505419,0.005166872,0.006289053
23000,0.004726206,0.006854116,0.006877384
24000,0.004639627,0.004861466,0.005041386
25000,0.004991037,0.004711266,0.004975452
26000,0.004313682,0.004155527,0.005812302
27000,0.006320282,0.00424064,0.003961089
28000,0.005831364,0.004035367,0.003631421
29000,0.003259452,0.003429561,0.003134383
30000,0.003412239,0.006133157,0.00669987
31000,0.002857114,0.003604794,0.003174957
32000,0.002984436,0.003279362,0.003185101
33000,0.003498818,0.00651867,0.004184249
34000,0.004802599,0.004696246,0.004726933
35000,0.002317267,0.002858802,0.00270835
36000,0.002016786,0.002438243,0.004843585
37000,0.002388567,0.002593449,0.002728638
38000,0.002159387,0.002543383,0.002804715
39000,0.002235781,0.002568416,0.002753997
40000,0.0019353,0.00199265,0.00203887
41000,0.001930207,0.00199265,0.002170738
42000,0.001721398,0.001792384,0.001967865
43000,0.00177742,0.001562078,0.001688915
44000,0.00151259,0.00193257,0.001917147
45000,0.001380174,0.001667217,0.001957721
46000,0.001446382,0.001527031,0.001612838
47000,0.001456568,0.001486978,0.001592551
48000,0.001313967,0.001336778,0.001374462
49000,0.001207016,0.001221625,0.00145054
50000,0.001257945,0.001421891,0.001328816
More,0.048866322,0.052359638,0.056454394
