Time,Total Bytes at this time,Total requests at this time,Bytes Std. Dev,Req. Std. Dev,Bytes Upper CI,Byters Lower CI,Reqs Upper CI,Reqs Lower CI
0,0.430358081,0.362924535,0.039001001,0.033626663,0.432068807,0.428647355,0.364399523,0.361449547
3600,0.430358081,0.362924535,0.039001001,0.033626663,0.432068807,0.428647355,0.364399523,0.361449547
7200,0.399673359,0.336880698,0.037966913,0.032436065,0.401339561,0.398007157,0.338304175,0.335457221
10800,0.388828804,0.328617749,0.038226331,0.032017855,0.390505971,0.387151638,0.33002252,0.327212977
14400,0.386960669,0.327435902,0.037358715,0.031716098,0.38860018,0.385321158,0.328827783,0.326044021
18000,0.386322513,0.326447305,0.037856023,0.032392591,0.387984265,0.38466076,0.327869231,0.325025379
21600,0.38504657,0.325121657,0.03671458,0.031633585,0.386657812,0.383435327,0.326509917,0.323733397
25200,0.379002278,0.320004594,0.037699939,0.031986937,0.380656349,0.377348207,0.321408009,0.318601179
28800,0.380430645,0.320765368,0.037426035,0.031676234,0.382072699,0.378788592,0.322155152,0.319375585
32400,0.378238941,0.318798971,0.03775284,0.032041007,0.379895333,0.376582548,0.320204759,0.317393184
36000,0.376840355,0.317279822,0.038008447,0.032496367,0.378508798,0.375171912,0.318706304,0.315853341
39600,0.377877625,0.318791667,0.03739885,0.031897643,0.379518486,0.376236764,0.320191165,0.31739217
43200,0.376776939,0.317623289,0.037299097,0.031433066,0.378413013,0.375140864,0.319002058,0.31624452
46800,0.35859136,0.305868484,0.036083491,0.030943889,0.360174114,0.357008607,0.307225796,0.304511172
50400,0.357234988,0.303783752,0.035561881,0.030427035,0.358794862,0.355675114,0.305118393,0.302449111
54000,0.357792987,0.304430169,0.036309654,0.030569585,0.359386459,0.356199515,0.305771735,0.303088604
57600,0.356562676,0.303748563,0.035999985,0.030639179,0.358142558,0.354982794,0.305093183,0.302403943
61200,0.356295359,0.3032133,0.035870567,0.030592348,0.357869562,0.354721157,0.304555865,0.301870736
64800,0.35725166,0.303867888,0.036095596,0.030814624,0.358834945,0.355668376,0.30521953,0.302516246
68400,0.35570756,0.302310584,0.03716729,0.0315553,0.357337853,0.354077267,0.303694714,0.300926453
72000,0.3557159,0.302638968,0.03623069,0.030997918,0.357305508,0.354126292,0.30399899,0.301278946
75600,0.355703164,0.302522423,0.036495032,0.030615821,0.35730437,0.354101958,0.303865681,0.301179165
79200,0.355569618,0.302214531,0.035558014,0.030496416,0.357129322,0.354009913,0.303552215,0.300876847
82800,0.356034912,0.302579941,0.036246566,0.031078849,0.357624818,0.354445005,0.303943172,0.301216709
86400,0.356211476,0.302647887,0.035690728,0.030251907,0.357777394,0.354645558,0.303975178,0.301320595
