Bin,Proportion
0,0
1000,0.010813149
2000,0.022923875
3000,0.043036332
4000,0.057093426
5000,0.066608997
6000,0.081098616
7000,0.072448097
8000,0.069852941
9000,0.0683391
10000,0.058607266
11000,0.052119377
12000,0.040657439
13000,0.03633218
14000,0.032871972
15000,0.032223183
16000,0.02616782
17000,0.020977509
18000,0.017949827
19000,0.019679931
20000,0.015787197
21000,0.011894464
22000,0.013408304
23000,0.009948097
24000,0.009299308
25000,0.007569204
26000,0.008434256
27000,0.007785467
28000,0.007136678
29000,0.005622837
30000,0.006920415
31000,0.004108997
32000,0.002378893
33000,0.002595156
34000,0.003027682
35000,0.003892734
36000,0.002595156
37000,0.003243945
38000,0.003460208
39000,0.002595156
40000,0.001946367
41000,0.001946367
42000,0.001730104
43000,0.001513841
44000,0.001513841
45000,0.001081315
46000,0.001297578
47000,0.001730104
48000,0.001946367
49000,0.001513841
50000,0.001081315
51000,0.001081315
52000,0.001297578
53000,0.001297578
54000,0.001297578
55000,0.000432526
56000,0.000432526
57000,0.000865052
58000,0.001081315
59000,0.000865052
60000,0.000216263
61000,0.000432526
62000,0.000216263
63000,0.000432526
64000,0.000216263
65000,0.000432526
66000,0.000648789
67000,0.000648789
68000,0.000648789
69000,0
70000,0.000216263
71000,0.000432526
72000,0.000216263
73000,0.000216263
74000,0.000432526
75000,0.000216263
76000,0.000216263
77000,0
78000,0.000432526
79000,0.000216263
80000,0
81000,0.000216263
82000,0.000648789
83000,0
84000,0
85000,0.000648789
86000,0
87000,0.000432526
88000,0
89000,0.000216263
90000,0
91000,0
92000,0
93000,0
94000,0.000216263
95000,0
96000,0
97000,0.000216263
98000,0
99000,0.000432526
100000,0
More,0.003027682
